Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Hispanic?,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Recidivism - Return to Prison,Days to Recidivism
2010,2013,0,1,1,1,1,4,5,0,1,251
2010,2013,1,1,1,1,0,4,5,0,1,252
2010,2013,1,1,1,0,1,4,5,0,1,252
2010,2013,0,1,1,3,1,4,5,0,1,252
2010,2013,0,1,1,4,5,4,5,0,1,252
2010,2013,0,0,1,1,3,4,5,0,1,252
2010,2013,0,1,1,4,3,1,1,0,1,252
2010,2013,0,1,0,3,3,3,9,0,1,253
2010,2013,1,1,1,3,5,4,5,0,1,254
2010,2013,0,1,1,3,0,4,5,2,1,254
2010,2013,0,1,1,4,1,4,5,2,1,256
2010,2013,0,1,1,0,3,3,19,0,1,256
2010,2013,0,1,1,4,5,1,1,2,1,257
2010,2013,0,1,1,3,1,3,3,0,1,258
2010,2013,1,1,1,1,3,4,23,0,1,258
2010,2013,0,1,0,0,4,0,0,2,1,259
2010,2013,1,1,1,4,3,1,1,0,1,260
2010,2013,0,1,1,1,0,4,5,0,1,260
2010,2013,0,1,1,4,3,3,8,2,1,261
2010,2013,0,1,1,4,3,3,3,0,1,261
2010,2013,0,1,1,1,5,3,9,0,1,262
2010,2013,0,1,1,3,3,1,1,0,1,262
2010,2013,1,1,1,4,0,0,7,0,1,262
2010,2013,1,1,1,0,4,6,22,0,1,264
2010,2013,0,1,1,4,3,3,9,0,1,266
2010,2013,1,1,1,1,3,4,11,0,1,266
2010,2013,1,1,1,3,1,4,5,0,1,267
2010,2013,1,1,1,3,3,4,23,2,1,267
2010,2013,0,1,1,4,3,4,23,2,1,267
2010,2013,1,1,1,3,4,3,9,2,1,268
2010,2013,1,1,1,0,1,3,19,0,1,268
2010,2013,0,1,1,0,3,4,5,0,1,269
2010,2013,0,1,1,1,0,4,5,0,1,270
2010,2013,0,1,1,1,3,4,5,0,1,271
2010,2013,0,1,1,0,3,4,5,0,1,271
2010,2013,0,1,1,5,1,3,9,0,1,272
2010,2013,0,1,1,4,4,0,0,2,1,272
2010,2013,0,1,0,1,1,3,9,0,1,272
2010,2013,1,1,1,1,1,0,10,0,1,273
2010,2013,0,1,1,1,0,4,5,2,1,273
2010,2013,0,1,0,0,1,4,5,0,1,273
2010,2013,0,1,1,1,1,3,3,0,1,273
2010,2013,1,1,1,3,3,0,0,0,1,273
2010,2013,0,1,1,0,4,3,8,2,1,274
2010,2013,1,1,1,1,1,4,5,0,1,274
2010,2013,1,1,1,1,4,0,6,2,1,274
2010,2013,1,1,1,1,1,0,7,0,1,274
2010,2013,0,1,1,1,3,4,5,0,1,275
2010,2013,0,1,1,3,3,3,3,0,1,275
2010,2013,0,1,1,4,3,3,9,2,1,276
2010,2013,0,1,1,3,3,3,9,2,1,279
2010,2013,1,1,1,3,3,1,1,2,1,279
2010,2013,1,1,1,3,4,1,15,2,1,280
2010,2013,0,1,1,4,0,6,22,2,1,281
2010,2013,0,1,1,1,1,4,5,2,1,282
